iter	Passed	Remaining
0	4	418
1	7	379
2	11	385
3	14	342
4	16	316
5	18	295
6	20	274
7	22	257
8	24	245
9	26	234
10	27	222
11	28	211
12	30	201
13	31	192
14	32	184
15	33	176
16	34	169
17	35	162
18	36	156
19	37	151
20	39	147
21	40	143
22	41	139
23	42	134
24	43	130
25	44	126
26	45	122
27	46	118
28	46	114
29	47	111
30	48	107
31	49	104
32	49	100
33	50	97
34	51	94
35	51	91
36	52	89
37	53	86
38	54	84
39	55	82
40	55	80
41	56	77
42	56	75
43	57	73
44	58	71
45	59	69
46	60	67
47	60	65
48	61	63
49	62	62
50	62	60
51	63	58
52	63	56
53	64	55
54	65	53
55	65	51
56	66	50
57	67	48
58	67	47
59	68	45
60	69	44
61	70	42
62	70	41
63	71	40
64	72	38
65	72	37
66	73	36
67	74	34
68	74	33
69	75	32
70	76	31
71	77	29
72	77	28
73	78	27
74	78	26
75	79	25
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	85	17
83	86	16
84	87	15
85	88	14
86	88	13
87	89	12
88	90	11
89	91	10
90	91	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	96	2
97	97	1
98	97	0
99	98	0
