iter	Passed	Remaining
0	137	137181
1	138	69188
2	139	46437
3	140	35047
4	141	28203
5	142	23627
6	146	20847
7	150	18705
8	153	16895
9	156	15493
10	158	14244
11	160	13193
12	161	12296
13	163	11512
14	165	10842
15	166	10251
16	168	9726
17	169	9241
18	170	8826
19	172	8436
20	173	8079
21	174	7752
22	175	7451
23	176	7169
24	177	6912
25	178	6676
26	179	6469
27	180	6269
28	181	6079
29	182	5899
30	183	5735
31	184	5573
32	184	5420
33	185	5276
34	186	5139
35	187	5008
36	187	4885
37	188	4768
38	189	4657
39	189	4554
40	190	4453
41	191	4358
42	191	4266
43	192	4183
44	193	4105
45	194	4030
46	195	3956
47	195	3886
48	196	3819
49	197	3751
50	198	3686
51	198	3624
52	199	3562
53	200	3503
54	200	3446
55	201	3391
56	201	3338
57	202	3288
58	203	3239
59	203	3191
60	204	3144
61	204	3099
62	205	3055
63	206	3015
64	206	2977
65	207	2938
66	208	2901
67	209	2864
68	209	2828
69	210	2794
70	210	2760
71	211	2726
72	212	2693
73	212	2661
74	213	2630
75	213	2600
76	214	2570
77	215	2541
78	215	2513
79	216	2486
80	216	2459
81	217	2433
82	217	2404
83	218	2380
84	218	2355
85	219	2332
86	220	2309
87	220	2288
88	221	2268
89	222	2248
90	222	2227
91	223	2207
92	224	2187
93	224	2167
94	225	2148
95	226	2129
96	226	2110
97	227	2091
98	227	2073
99	228	2055
100	229	2038
101	229	2021
102	230	2005
103	230	1989
104	231	1972
105	232	1956
106	232	1941
107	233	1926
108	233	1910
109	234	1896
110	235	1882
111	235	1869
112	236	1856
113	237	1844
114	237	1831
115	238	1818
116	239	1805
117	239	1792
118	240	1780
119	241	1767
120	241	1755
121	242	1742
122	242	1730
123	243	1719
124	243	1707
125	244	1696
126	245	1684
127	245	1673
128	246	1662
129	246	1652
130	247	1641
131	248	1631
132	248	1620
133	249	1610
134	250	1601
135	250	1592
136	251	1583
137	252	1574
138	252	1565
139	253	1556
140	254	1547
141	254	1537
142	255	1528
143	255	1519
144	256	1511
145	256	1502
146	257	1494
147	258	1486
148	258	1478
149	259	1470
150	259	1461
151	260	1453
152	261	1445
153	261	1438
154	262	1430
155	263	1422
156	263	1415
157	264	1407
158	265	1402
159	265	1395
160	266	1387
161	267	1381
162	267	1374
163	268	1368
164	268	1361
165	269	1354
166	270	1347
167	270	1340
168	271	1334
169	271	1327
170	272	1321
171	273	1314
172	273	1308
173	274	1302
174	274	1296
175	275	1290
176	276	1284
177	276	1278
178	277	1272
179	277	1266
180	278	1260
181	279	1255
182	280	1250
183	280	1245
184	281	1239
185	282	1234
186	282	1229
187	283	1224
188	284	1219
189	284	1213
190	285	1208
191	285	1203
192	286	1198
193	287	1192
194	287	1187
195	288	1182
196	288	1177
197	289	1172
198	290	1167
199	290	1162
200	291	1157
201	291	1152
202	292	1148
203	293	1144
204	294	1140
205	295	1137
206	296	1134
207	296	1130
208	297	1126
209	298	1122
210	299	1118
211	299	1114
212	300	1111
213	301	1106
214	302	1102
